



GLOSSARY
OF
CERTAIN SCOTCH WORDS AND PHRASES,
AS APPLIED IN THE ANTIQUARY.



Abune,			above.
Again-e'en,		by the evening.
Aiblins,		perhaps.
Aik,			oak.
Aitmeal,		oatmeal
Ava',			at all.
Awmous,			alms.

Bain or Bane,		a bone.
Bairn,			a child.
Ban,			curse.
Bannock-fluke,		turbot.
Barm,			yeast.
Barns-breaking,		frolic.
Baudron,		a cat.
Bedral,			beadle, grave-digger.
Belyve,			directly.
Ben,			in, within.
Bennison,		blessing.
Bicker,			a wooden vessel
Bide,			wait.
Bield,			shelter.
Bigging,		building.
Bink,			beach.
Binna,			be not.
Blythe,			merry.
Boddle,			a small copper coin.
Bole,			window, aperture.
Bonny,			pretty.
Bourd,			a joke.
Bourock,		a mound, heap.
Bowse,			pull.
Braid,			broad.
Braw,			fine, brave.
Braws,			fine clothing.
Breeks,			breeches.
Brock,			a badger.
Butter in the black
  dog's hause (throat),	irrecoverable.

Ca' thro,		an ado.
Callant,		a lad.
Caller,			fresh.
Canny,			quiet.
Cantrip,		a frolic, trick.
Car-cake,		small cake baked with eggs,
			  and eaten on Eastern's even.
Carfuffle,		excitement.
Carle,			fellow.
Cast,			lot, fate.
Certie,			good gracious.
Claes,			clothes.
Clartier the cosier,	the dirtier the warmer.
Cleugh,			a rugged precipice.
Clink,			to strike.
Coble,			a little boat.
Cockpaddle,		a lump-lish.
Corbie,			a crow.
Coronach,		highland lament for the dead.
Craft or Croft,		grazing field.
Crack,			to gossip.
Crappit-heads,		haddock-heads  stuffed
			  with oatmeal, onions, pepper, etc.
Creel,			basket for the back.
Cummer,			a gossip, midwife.

Daft,			crazy.
Daunder,		gaunter.
Deil,			devil.
Deil went o'er
  Jock Wabster,		everything went to the devil.
Devvil,			a stroke with a pick.
Ding,			bring down.
Div,			do.
Doited,			dotard.
Donnard,		stupid.
Doup,			the end, bottom.
Dour,			stubborn.
Dowed,			liked.
Downa,			do not like.
Dreeing a sair weird,	enduring a sore misfortune.
Droukit,		drenched.
Drudging-box,		kitchen flour-box.

Earded,			buried.
Easel,			eastward.
Ee,			eye.
Een,			eyes.
E'en,			evening.
Eilding,		fuel
Eithly,			easily.
Ewking,			itching.
Exies,			hysterics.

Fa'ard,			favoured.
Farrant,		sagacious.
Fashious,		troublesome.
Fending,		provision.
Fickle,			to puzzle.
Fish-guts. _See_ ``Gie.''
Fit,			foot.
Flaughter,		flicker.
Flaughter-spade,	turf-spade.
Flit,			remove.
Fliskmahoy,		silly flirt.
Flyting,		badgering, scolding.
Forbye,			besides.
Fire-flaught,		flash.
Forfain,		exhausted.
Founder,		stun.
Fugie,			fugitive.

Gaberlunzie,		a beggar.
Gae-doun,		a rout or spree.
Gait or Gate,		way, manner, direction
Ganging,		going.
Gar,			to make, oblige.
Gear,			property.
Gecked,			jeered.
Gieing,			giving.
Gien,			given.
Gie our ain fish-guts
  to our ain
  sea-maws (sea-gulls),	don't put the water past your own mill.
Gin,			if.
Gleg,			sharp.
Gliff,			a fright.
Gloamin,		twilight.
Glower,			gaze.
Glum,			gloomy.
Glunch,			sour-looking.
Gowk,			goose, fool.
Greet,			cry, weep.
Gudewife,		wife.
Guffaw,			a loud laugh.
Gully,			knife.
Gyre-carlin,		an ogre.
Gyte,			a crack-brained fellow.

Haddie,			a haddock.
Haena,			has not.
Hail,			whole.
Hallan,			the partition at the doorway.
Hallenshaker,		a beggar.
Hantle,			a number of.
Harns,			brains.
Harry,			rob.
Haud,			hold.
Hause or Hals,		the throat.
Heugh,			a dell.
Hinny,			honey.
Hirple,			hobble.
Houst or Hoast,		cough.
Hoodie-craw,		hooded crow.
Hooly,			softly.
Houdie,			midwife.
Howk,			dig.
Howlit,			an owL
Hussie,			a jade.

Ilka,			each.
Ingle,			the flre.

Jaloused,		suspected.
Jimp,			hardly.
Jowing,			rolling.

Kale,			greens, broth.
Kale-yard,		cabbage-garden.
Kale-supper,		a great eater.
Keelyvine,		a pencil.
Kemping,		fighting and striving.
Ken,			know.
Kist,			a chest.
Kittle,			ticklish

Laigh,			low.
Landlouper,		charlatan.
